questao_numero,avaliador,modelo_avaliado,tecnica_prompt,fluidez,capacidade,diversidade,complexidade,relevancia,media
3,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
1,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
2,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,3,5,4.0
4,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
7,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
9,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
10,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
1,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,5,2,2,5,3.8
8,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
3,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,1,1,1,1,1.8
4,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,5,2,2,5,3.8
6,gpt-oss-120b,qwen/qwen3-32b,zero-shot,5,5,2,2,5,3.8
6,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,5,2,2,5,3.8
7,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,5,2,2,5,3.8
5,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,1,1,1,1,1.8
9,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,5,2,2,5,3.8
1,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,2,2,5,3.8
2,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,2,2,5,3.8
4,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,2,2,5,3.8
3,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,2,2,5,3.8
6,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,3,3,5,4.2
10,gpt-oss-120b,qwen/qwen3-32b,few-shot,5,5,2,2,5,3.8
8,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,2,2,5,3.8
10,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,4,5,2,3,5,3.8
5,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,2,2,5,3.8
1,gpt-oss-120b,qwen/qwen3-32b,exemplar-guided,5,5,2,2,5,3.8
7,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,1,1,2,1,2.0
4,gpt-oss-120b,qwen/qwen3-32b,exemplar-guided,5,5,2,2,5,3.8
9,gpt-oss-120b,qwen/qwen3-32b,chain-of-thought,5,5,2,2,5,3.8
5,gpt-oss-120b,qwen/qwen3-32b,exemplar-guided,5,5,2,2,5,3.8
7,gpt-oss-120b,qwen/qwen3-32b,exemplar-guided,5,5,2,3,5,4.0
8,gpt-oss-120b,qwen/qwen3-32b,exemplar-guided,5,5,2,2,5,3.8
9,gpt-oss-120b,qwen/qwen3-32b,exemplar-guided,5,5,2,2,5,3.8
10,gpt-oss-120b,qwen/qwen3-32b,exemplar-guided,5,1,2,2,2,2.4
2,gpt-oss-120b,qwen/qwen3-32b,template-based,5,5,2,2,5,3.8
3,gpt-oss-120b,qwen/qwen3-32b,template-based,5,5,2,2,5,3.8
5,gpt-oss-120b,qwen/qwen3-32b,template-based,5,5,2,2,5,3.8
1,gpt-oss-120b,qwen/qwen3-32b,template-based,4,2,2,2,1,2.2
7,gpt-oss-120b,qwen/qwen3-32b,template-based,5,5,2,2,5,3.8
